i,mean3,s42,s101,s202,cfg
66,0.2895,0.3023,0.2824,0.2837,"{""num_leaves"": 7, ""n_estimators"": 350, ""learning_rate"": 0.032, ""min_child_samples"": 20, ""scale_pos_weight"": 1.6, ""feature_fraction"": 0.65, ""bagging_fraction"": 0.99}"
67,0.3063,0.3067,0.3103,0.3019,"{""num_leaves"": 7, ""n_estimators"": 350, ""learning_rate"": 0.02, ""min_child_samples"": 130, ""scale_pos_weight"": 1.0, ""feature_fraction"": 0.35, ""bagging_fraction"": 0.99}"
68,0.2918,0.2917,0.2996,0.2841,"{""num_leaves"": 5, ""n_estimators"": 260, ""learning_rate"": 0.08, ""min_child_samples"": 130, ""scale_pos_weight"": 1.3, ""feature_fraction"": 0.5, ""bagging_fraction"": 0.7}"
69,0.284,0.2952,0.289,0.2677,"{""num_leaves"": 15, ""n_estimators"": 260, ""learning_rate"": 0.08, ""min_child_samples"": 130, ""scale_pos_weight"": 1.3, ""feature_fraction"": 0.5, ""bagging_fraction"": 0.99}"
70,0.2952,0.2939,0.3143,0.2775,"{""num_leaves"": 10, ""n_estimators"": 122, ""learning_rate"": 0.08, ""min_child_samples"": 90, ""scale_pos_weight"": 1.0, ""feature_fraction"": 0.35, ""bagging_fraction"": 0.99}"
71,0.3066,0.3059,0.3103,0.3036,"{""num_leaves"": 7, ""n_estimators"": 122, ""learning_rate"": 0.02, ""min_child_samples"": 20, ""scale_pos_weight"": 1.3, ""feature_fraction"": 0.35, ""bagging_fraction"": 0.85}"
72,0.3023,0.3045,0.2974,0.305,"{""num_leaves"": 15, ""n_estimators"": 180, ""learning_rate"": 0.032, ""min_child_samples"": 20, ""scale_pos_weight"": 1.0, ""feature_fraction"": 0.5, ""bagging_fraction"": 0.7}"
73,0.3087,0.2992,0.3134,0.3134,"{""num_leaves"": 23, ""n_estimators"": 180, ""learning_rate"": 0.02, ""min_child_samples"": 20, ""scale_pos_weight"": 1.07, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.85}"
74,0.3128,0.3169,0.3129,0.3085,"{""num_leaves"": 7, ""n_estimators"": 80, ""learning_rate"": 0.05, ""min_child_samples"": 130, ""scale_pos_weight"": 1.6, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.85}"
75,0.289,0.2983,0.2762,0.2926,"{""num_leaves"": 15, ""n_estimators"": 350, ""learning_rate"": 0.08, ""min_child_samples"": 130, ""scale_pos_weight"": 1.6, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.7}"
76,0.2812,0.2895,0.281,0.273,"{""num_leaves"": 15, ""n_estimators"": 260, ""learning_rate"": 0.05, ""min_child_samples"": 40, ""scale_pos_weight"": 1.6, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.85}"
77,0.2878,0.2979,0.2832,0.2824,"{""num_leaves"": 23, ""n_estimators"": 80, ""learning_rate"": 0.08, ""min_child_samples"": 20, ""scale_pos_weight"": 1.0, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.99}"
78,0.2931,0.3072,0.2992,0.273,"{""num_leaves"": 7, ""n_estimators"": 180, ""learning_rate"": 0.08, ""min_child_samples"": 60, ""scale_pos_weight"": 1.6, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.7}"
79,0.2931,0.2903,0.2926,0.2965,"{""num_leaves"": 15, ""n_estimators"": 180, ""learning_rate"": 0.05, ""min_child_samples"": 20, ""scale_pos_weight"": 1.6, ""feature_fraction"": 0.65, ""bagging_fraction"": 0.85}"
80,0.2967,0.301,0.2837,0.3054,"{""num_leaves"": 23, ""n_estimators"": 260, ""learning_rate"": 0.032, ""min_child_samples"": 60, ""scale_pos_weight"": 1.07, ""feature_fraction"": 0.5, ""bagging_fraction"": 0.7}"
81,0.3091,0.3098,0.3147,0.3027,"{""num_leaves"": 7, ""n_estimators"": 260, ""learning_rate"": 0.032, ""min_child_samples"": 90, ""scale_pos_weight"": 1.3, ""feature_fraction"": 0.35, ""bagging_fraction"": 0.85}"
82,0.3008,0.3107,0.2934,0.2983,"{""num_leaves"": 7, ""n_estimators"": 350, ""learning_rate"": 0.032, ""min_child_samples"": 130, ""scale_pos_weight"": 1.07, ""feature_fraction"": 0.65, ""bagging_fraction"": 0.85}"
83,0.2892,0.3027,0.2961,0.2686,"{""num_leaves"": 10, ""n_estimators"": 260, ""learning_rate"": 0.032, ""min_child_samples"": 60, ""scale_pos_weight"": 1.6, ""feature_fraction"": 0.65, ""bagging_fraction"": 0.99}"
84,0.2872,0.289,0.2934,0.2793,"{""num_leaves"": 23, ""n_estimators"": 180, ""learning_rate"": 0.05, ""min_child_samples"": 90, ""scale_pos_weight"": 1.3, ""feature_fraction"": 0.65, ""bagging_fraction"": 0.7}"
85,0.3039,0.3094,0.3045,0.2979,"{""num_leaves"": 23, ""n_estimators"": 180, ""learning_rate"": 0.02, ""min_child_samples"": 20, ""scale_pos_weight"": 1.3, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.85}"
86,0.2993,0.3129,0.3019,0.2832,"{""num_leaves"": 7, ""n_estimators"": 260, ""learning_rate"": 0.05, ""min_child_samples"": 130, ""scale_pos_weight"": 1.07, ""feature_fraction"": 0.5, ""bagging_fraction"": 0.99}"
87,0.2999,0.3116,0.2943,0.2939,"{""num_leaves"": 10, ""n_estimators"": 350, ""learning_rate"": 0.05, ""min_child_samples"": 90, ""scale_pos_weight"": 1.3, ""feature_fraction"": 0.35, ""bagging_fraction"": 0.85}"
88,0.2967,0.2899,0.3036,0.2965,"{""num_leaves"": 10, ""n_estimators"": 350, ""learning_rate"": 0.05, ""min_child_samples"": 60, ""scale_pos_weight"": 1.07, ""feature_fraction"": 0.35, ""bagging_fraction"": 0.7}"
89,0.3022,0.3041,0.3054,0.297,"{""num_leaves"": 7, ""n_estimators"": 80, ""learning_rate"": 0.05, ""min_child_samples"": 20, ""scale_pos_weight"": 1.6, ""feature_fraction"": 0.5, ""bagging_fraction"": 0.99}"
